PRES TMPC TMWC DWPC THTE DRCT SKNT OMEG CFRL HGHT
866.70 18.34 13.51 10.56 331.72 136.55 5.09 0.00 -9999.00 1317.42
864.40 20.74 11.64 4.76 325.75 142.94 11.93 0.00 -9999.00 1340.29
862.40 22.14 11.17 2.12 324.38 144.16 12.95 0.00 -9999.00 1360.34
856.50 22.84 11.01 0.93 324.61 140.19 12.15 0.00 -9999.00 1419.93
843.10 23.24 10.29 -1.69 324.17 135.00 12.10 0.00 -9999.00 1557.01
825.40 23.84 9.41 -5.58 323.86 146.09 14.29 0.00 -9999.00 1741.68
806.60 23.84 8.82 -7.66 324.77 154.65 12.26 0.00 -9999.00 1942.33
786.80 22.44 8.03 -7.98 325.54 154.54 9.04 0.00 -9999.00 2158.24
763.40 20.04 6.78 -8.27 325.76 147.72 8.74 0.00 -9999.00 2418.84
738.90 18.24 5.69 -8.88 326.66 139.09 7.72 0.00 -9999.00 2698.39
712.90 16.04 4.17 -10.59 326.72 133.60 5.64 0.00 -9999.00 3003.25
684.60 13.34 2.45 -11.90 326.95 165.96 1.60 0.00 -9999.00 3345.03
652.30 10.04 0.58 -12.28 327.80 254.74 4.43 0.00 -9999.00 3748.56
618.10 6.34 -1.59 -12.84 328.60 257.15 11.36 0.00 -9999.00 4192.70
580.80 1.84 -4.59 -14.77 328.42 251.76 18.01 0.00 -9999.00 4698.51
542.80 -2.16 -7.62 -17.50 328.93 254.05 22.64 0.00 -9999.00 5239.87
501.90 -6.76 -11.28 -21.11 329.41 261.68 25.54 0.00 -9999.00 5856.64
461.30 -12.06 -15.94 -27.64 328.80 267.46 26.27 0.00 -9999.00 6508.32
424.20 -17.76 -20.65 -32.17 328.53 267.78 25.09 0.00 -9999.00 7142.40
391.40 -23.06 -24.70 -31.88 329.44 264.67 23.04 0.00 -9999.00 7738.02
362.30 -27.26 -28.58 -36.01 330.44 258.90 21.20 0.00 -9999.00 8299.05
336.70 -30.36 -31.71 -42.15 332.39 255.83 19.85 0.00 -9999.00 8823.31
313.70 -33.16 -34.43 -47.38 334.83 264.11 18.95 0.00 -9999.00 9323.34
292.40 -36.76 -37.74 -50.36 336.34 277.41 19.60 0.00 -9999.00 9813.65
272.60 -41.26 -41.93 -53.20 336.48 283.80 22.82 0.00 -9999.00 10294.26
254.80 -45.66 -46.09 -55.61 336.44 282.35 27.26 0.00 -9999.00 10748.31
238.70 -49.76 -50.02 -57.23 336.54 281.94 30.99 0.00 -9999.00 11179.07
223.80 -53.46 -53.64 -60.41 337.03 282.85 34.09 0.00 -9999.00 11597.08
210.30 -56.36 -56.49 -62.60 338.50 283.44 35.97 0.00 -9999.00 11994.57
198.10 -58.36 -58.48 -65.21 341.10 282.37 37.21 0.00 -9999.00 12372.08
186.50 -59.46 -59.59 -68.58 345.20 281.31 38.65 0.00 -9999.00 12750.51
175.50 -59.76 -59.90 -69.01 350.75 281.90 40.52 0.00 -9999.00 13130.52
164.80 -59.66 -59.81 -69.46 357.27 282.88 41.87 0.00 -9999.00 13523.56
153.40 -60.16 -60.34 -74.68 363.75 282.24 42.17 0.00 -9999.00 13971.03
141.30 -61.46 -61.62 -75.22 370.11 279.37 40.58 0.00 -9999.00 14481.74
128.90 -62.96 -63.10 -75.82 377.25 275.03 37.66 0.00 -9999.00 15048.89
116.50 -64.26 -64.39 -76.48 385.90 269.33 33.44 0.00 -9999.00 15669.30
104.20 -64.96 -65.12 -102.33 396.99 261.81 28.67 0.00 -9999.00 16350.45
92.10 -65.26 -65.43 -102.90 410.63 254.91 23.15 0.00 -9999.00 17102.17
81.00 -65.56 -65.75 -103.49 425.35 253.24 16.85 0.00 -9999.00 17883.14
72.00 -64.86 -65.09 -104.02 441.37 257.56 13.54 0.00 -9999.00 18600.09
64.80 -63.36 -63.67 -104.49 458.12 265.03 8.98 0.00 -9999.00 19244.81
58.00 -61.46 -61.89 -104.99 477.13 281.31 2.97 0.00 -9999.00 19928.71
51.70 -59.46 -60.06 -105.50 497.71 102.99 5.19 0.00 -9999.00 20644.61
45.80 -58.36 -59.12 -106.04 517.87 104.32 9.43 0.00 -9999.00 21404.54
40.40 -57.36 -58.32 -106.58 539.25 102.91 9.57 0.00 -9999.00 22195.17
35.30 -56.56 -57.73 -107.17 562.50 99.46 11.82 0.00 -9999.00 23049.18
30.50 -55.16 -56.68 -84.74 590.34 92.77 12.07 0.00 -9999.00 23978.83
26.10 -52.66 -54.87 -85.65 624.26 85.24 11.70 0.00 -9999.00 24978.67
22.00 -49.26 -52.68 -86.63 665.57 86.13 14.42 0.00 -9999.00 26090.18
