PRES TMPC TMWC DWPC THTE DRCT SKNT OMEG CFRL HGHT
868.00 26.14 20.34 17.97 358.49 350.91 4.92 0.00 -9999.00 1282.18
865.40 25.74 19.90 17.45 356.91 348.69 5.95 -0.10 -9999.00 1308.67
860.70 27.54 16.43 10.23 342.72 6.34 8.80 0.00 -9999.00 1356.81
852.60 28.74 13.54 1.99 332.86 19.38 11.13 0.10 -9999.00 1440.56
840.60 28.24 12.09 -2.11 329.63 12.09 11.13 0.30 -9999.00 1566.06
825.30 27.34 11.81 -1.48 331.21 348.23 9.53 0.50 -9999.00 1728.28
807.00 26.54 10.42 -5.25 329.43 319.24 7.44 0.70 -9999.00 1925.69
787.10 25.24 9.65 -5.74 330.22 292.62 5.05 0.80 -9999.00 2144.68
765.40 23.04 8.55 -5.98 330.51 277.77 4.32 0.70 -9999.00 2388.44
741.10 20.74 7.31 -6.53 330.88 229.40 7.17 0.10 -9999.00 2667.62
714.30 18.14 5.33 -9.50 329.61 212.74 12.94 -0.30 -9999.00 2983.64
685.00 14.94 3.16 -12.06 328.63 204.97 15.65 -0.30 -9999.00 3339.33
653.20 11.24 1.20 -12.10 329.17 201.67 16.32 0.00 -9999.00 3738.18
618.80 6.94 -0.64 -10.25 330.93 203.37 17.15 0.40 -9999.00 4185.86
581.80 3.04 -3.61 -13.32 330.55 221.19 16.53 0.30 -9999.00 4688.64
542.30 -0.96 -7.66 -21.42 328.76 242.50 16.00 -0.20 -9999.00 5253.57
500.70 -5.76 -11.32 -25.10 329.44 253.22 12.79 -0.50 -9999.00 5884.31
460.40 -10.86 -15.12 -27.42 330.57 259.51 10.67 -0.50 -9999.00 6535.21
424.10 -16.16 -19.06 -28.55 331.50 271.66 13.42 -0.40 -9999.00 7159.73
391.70 -21.16 -23.26 -31.87 331.87 276.04 20.33 -0.20 -9999.00 7752.05
362.50 -25.56 -27.30 -36.85 332.53 277.13 25.07 0.00 -9999.00 8318.71
336.10 -29.66 -31.08 -41.52 333.59 280.01 26.84 0.10 -9999.00 8862.33
312.40 -33.66 -34.78 -45.51 334.69 283.84 27.63 0.10 -9999.00 9379.33
291.00 -37.66 -38.48 -48.58 335.63 284.88 28.76 0.20 -9999.00 9872.71
271.80 -41.46 -42.06 -51.68 336.55 283.68 30.41 0.30 -9999.00 10339.47
254.50 -44.96 -45.41 -54.65 337.63 282.12 32.41 0.40 -9999.00 10782.17
238.90 -48.06 -48.40 -57.22 339.02 281.57 33.93 0.50 -9999.00 11201.85
224.50 -50.96 -51.21 -58.95 340.60 281.81 35.15 0.40 -9999.00 11608.86
211.40 -53.46 -53.66 -60.85 342.56 283.13 35.93 0.20 -9999.00 11997.72
199.50 -55.66 -55.83 -63.00 344.74 284.11 36.68 0.00 -9999.00 12368.46
187.50 -57.76 -57.91 -65.61 347.46 283.68 37.81 -0.20 -9999.00 12761.51
175.60 -59.56 -59.70 -69.01 351.02 281.76 39.11 -0.30 -9999.00 13173.22
163.60 -60.96 -61.08 -69.51 355.84 279.51 40.01 -0.40 -9999.00 13614.34
151.70 -61.96 -62.10 -74.75 361.83 276.78 39.54 -0.40 -9999.00 14082.32
139.70 -62.76 -62.90 -75.30 369.04 273.65 36.62 -0.40 -9999.00 14590.81
127.80 -63.96 -64.09 -75.88 376.38 269.32 32.66 -0.30 -9999.00 15137.57
115.80 -65.36 -65.47 -76.52 384.53 265.63 30.61 -0.10 -9999.00 15739.35
103.90 -66.06 -66.18 -77.22 395.28 262.30 29.03 0.10 -9999.00 16397.81
91.90 -65.26 -65.44 -102.91 410.89 255.61 22.68 0.10 -9999.00 17143.24
80.80 -63.56 -63.80 -103.50 429.75 221.63 14.04 0.00 -9999.00 17929.79
71.90 -64.56 -64.80 -104.03 442.19 218.33 10.66 0.00 -9999.00 18644.08
64.70 -61.96 -62.32 -104.50 461.38 253.30 8.12 0.00 -9999.00 19292.37
57.90 -60.26 -60.75 -105.00 480.07 117.76 4.17 0.00 -9999.00 19981.62
51.60 -59.46 -60.06 -105.51 497.98 110.70 9.35 -0.10 -9999.00 20700.85
45.80 -60.96 -61.53 -106.04 511.61 120.53 8.80 -0.10 -9999.00 21444.10
40.30 -59.16 -59.94 -106.59 535.13 164.88 7.45 0.00 -9999.00 22242.11
35.30 -57.36 -58.44 -107.17 560.42 253.07 4.67 0.00 -9999.00 23075.40
30.50 -52.66 -54.61 -84.74 597.11 335.56 2.35 0.00 -9999.00 24008.69
26.10 -49.26 -52.28 -85.65 633.89 65.85 12.35 0.00 -9999.00 25021.98
22.00 -46.96 -51.08 -86.63 672.41 79.35 26.31 0.00 -9999.00 26147.75
